"Abandon Cart Promotion","Abandon Cart Promotion"
"General","General"
"Enable","Enable"
"Abandoned Before","Abandoned Before"
"Check cart abandoned x hours before.","Check cart abandoned x hours before."
"Cron Schedule","Cron Schedule"
"Fixed daily time used to run the abandoned basket check job.","Fixed daily time used to run the abandoned basket check job."
"Communication","Communication"
"Method","Method"
"Discount setting","Discount setting"
"Discount offered to customer with abandoned basket","Discount offered to customer with abandoned basket"
"Discount Type","Discount Type"
"Unable to generate abandoned cart coupon code.","Unable to generate abandoned cart coupon code."
"You might have left something with us. Use discount code %1 on your next checkout.","You might have left something with us. Use discount code %1 on your next checkout."
"Use discount code %1 on your next checkout.","Use discount code %1 on your next checkout."
"You left something great behind — it’s still waiting in your basket.","You left something great behind — it’s still waiting in your basket."
"Complete your checkout today and enjoy a little saving with code %1.","Complete your checkout today and enjoy a little saving with code %1."
"Complete your purchase with a thank-you discount","Complete your purchase with a thank-you discount"
"Promo Code","Promo Code"
"We noticed you left a few items in your basket — they’re still waiting for you!","We noticed you left a few items in your basket — they’re still waiting for you!"
"To help you complete your purchase, here’s a small thank-you discount:","To help you complete your purchase, here’s a small thank-you discount:"
"Promo Code: %promo_code","Promo Code: %promo_code"
"Simply return to your basket and apply the code at checkout:","Simply return to your basket and apply the code at checkout:"
"If you had any issues during checkout or need assistance, feel free to reply to this email — we’re here to help.","If you had any issues during checkout or need assistance, feel free to reply to this email — we’re here to help."
"Don’t miss out — your items may sell out soon.","Don’t miss out — your items may sell out soon."
"Best regards,","Best regards,"
"Sales Team","Sales Team"
"Process abandoned cart promotion messages.","Process abandoned cart promotion messages."
"Abandoned cart processor completed.","Abandoned cart processor completed."
